,Time,Irradiance (Light Sensor),Position (m)
0,0.0,1.8287028758141677e-20,18.872707346027624
1,0.06490806543602133,0.0,19.02489401582385
2,0.12981613087204266,0.0,19.18645083483441
3,0.19472419630806398,0.0,19.39978087675455
4,0.2596322617440853,0.0,19.613115156838276
5,0.32454032718010667,0.0,19.82645112180957
6,0.38944839261612796,5.009332576911651,20.0397835883701
7,0.4543564580521493,14.845323106014103,20.25305759584152
8,0.5192645234881706,25.722447942624488,20.466032410781484
9,0.584172588924192,36.83378542942642,20.67894835238641
10,0.6490806543602133,47.512194607366254,20.892116911555693
11,0.7139887197962347,57.29597444124914,21.105445012137398
12,0.7788967852322559,65.9210821687727,21.318774226161327
13,0.8438048506682773,73.28480956430313,21.532104995805888
14,0.9087129161042986,79.41461956404163,21.74543675984484
15,0.97362098154032,84.41549273158736,21.958769108466672
16,1.0385290469763413,83.18718527271042,22.172101617550094
17,1.1034371124123625,80.28671369611669,22.385433984462672
18,1.168345177848384,76.64686484760729,22.598766044037454
19,1.2332532432844052,72.47581581927149,22.812097748834287
20,1.2981613087204267,67.91711523669865,23.0254291330602
21,1.363069374156448,63.06613499898169,23.238760373443576
22,1.4279774395924694,57.98554423110971,23.45209167448069
23,1.4928855050284906,52.71845854155174,23.665423087076007
24,1.5577935704645118,47.298149604171314,23.878754639504752
25,1.6227016359005333,41.75501491837402,24.092086339054923
26,1.6876097013365545,36.120822800327275,24.30541817804754
27,1.752517766772576,30.43067706418637,24.51875014078132
28,1.8174258322085972,24.723201694042334,24.73208220916228
29,1.8823338976446187,19.03954095596729,24.945414444144316
30,1.94724196308064,13.42146535777538,25.158746956211672
31,2.012150028516661,7.909259310733234,25.37207977538724
32,2.0770580939526826,2.5399740377831987,25.58541291956562
33,2.141966159388704,4.545430245952831,25.798746392606983
34,2.206874224824725,11.969486869957704,26.01208018343464
35,2.2717822902607465,19.305871249238766,26.225414266232875
36,2.336690355696768,26.491545240084708,26.438748435794054
37,2.4015984211327894,33.46901796623226,26.652082592892317
38,2.4665064865688104,40.18857869206164,26.865416731078515
39,2.531414552004832,46.609674736821944,27.078750844924485
40,2.5963226174408534,52.7006047458302,27.29208493094038
41,2.6612306828768744,58.43786742991052,27.50541898811618
42,2.726138748312896,63.80529812369248,27.718753018082598
43,2.7910468137489173,68.79310644307087,27.932087024958015
44,2.8559548791849387,73.39762036023029,28.14542089247819
45,2.9208629446209597,77.61874746122332,28.358754535174565
46,2.985771010056981,81.45965620427276,28.572087922073806
47,3.0506790754930027,83.05184003186946,28.785421035967463
48,3.1155871409290237,80.72277517867829,28.998753873805665
49,3.180495206365045,77.66979324650848,29.212086446520388
50,3.2454032718010666,73.98469642319748,29.425418797958237
51,3.310311337237088,69.7568661462052,29.638751145522434
52,3.375219402673109,65.0730047332444,29.852083537229063
53,3.4401274681091305,60.01565324199448,30.065415972739956
54,3.505035533545152,54.66268399156974,30.27874845082125
55,3.5699435989811734,49.087052978678216,30.492080969035435
56,3.6348516644171944,43.35659126951721,30.705413523658592
57,3.699759729853216,37.5338251321069,30.918746109737235
58,3.7646677952892373,31.675829687280775,31.13207873838282
59,3.8295758607252584,25.834101889926085,31.34541154368539
60,3.89448392616128,20.0543251696503,31.558744587072606
61,3.9593919915973013,14.376484488731444,31.77207789658992
62,4.024300057033322,8.83498482386147,31.985411486329937
63,4.089208122469344,3.45880636932379,32.198745355962615
64,4.154116187905365,3.5502918997309627,32.41207949091994
65,4.219024253341386,10.83517972790522,32.62541380607715
66,4.283932318777408,18.03647897271553,32.83874808889198
67,4.348840384213429,25.101636090698413,33.05208233103002
68,4.41374844964945,31.98213829163698,33.265416532156785
69,4.478656515085472,38.63448041395602,33.47875069289412
70,4.543564580521493,45.02078143338276,33.69208481525502
71,4.608472645957515,51.10913749922277,33.905418902840765
72,4.673380711393536,56.87371988040611,34.118752960844034
73,4.738288776829557,62.29492510954404,34.33208695700709
74,4.803196842265579,67.35908960277976,34.5454207479713
75,4.8681049077016,72.05649792795725,34.7587542940256
76,4.933012973137621,76.38212625307423,34.972087571282735
77,4.997921038573643,80.33514506273248,35.1854205697983
78,5.062829104009664,83.45263480493053,35.398753293756236
79,5.127737169445685,81.349536608189,35.612085761053564
80,5.192645234881707,78.49223256096485,35.825418109654045
81,5.257553300317728,74.97174276785816,36.038750499726774
82,5.322461365753749,70.87856430169985,36.252082931453664
83,5.387369431189771,66.30058293309897,36.46541540423876
84,5.452277496625792,61.322288933157544,36.678747916425024
85,5.5171855620618135,56.02415514725012,36.8920804650966
86,5.5820936274978346,50.482127455545886,37.105413046065536
87,5.647001692933856,44.76719660210562,37.318745653973494
88,5.7119097583698775,38.945017871992675,37.53207836527001
89,5.7768178238058985,33.075545947364766,37.74541129540874
90,5.8417258892419195,27.21280829976395,37.95874447891765
91,5.906633954677941,21.40482624136195,38.17207793684785
92,5.971542020113962,15.693599841489089,38.38541167596478
93,6.036450085549983,10.11517392189295,38.598745688613235
94,6.101358150986005,4.699787508693051,38.81207995323804
95,6.166266216422026,1.8999317351121827,39.02541425695038
96,6.231174281858047,9.175215775480916,39.2387485201041
97,6.296082347294069,16.371137788792883,39.45208274218404
98,6.36099041273009,23.436981860720564,39.66541692332328
99,6.425898478166112,30.326066939440437,39.878751064853596
100,6.490806543602133,36.996507436846684,40.09208516961343
101,6.555714609038154,43.411724408616365,40.30541924204352
102,6.620622674474176,49.54070736990665,40.51875328810686
103,6.685530739910197,55.35888942296388,40.73208718530627
104,6.750438805346218,60.84602227485836,40.94542085371457
